pickup_location_id,total_trips,total_revenue,avg_fare,avg_tip
132,1721950,80765255.57,46.9,7.1
138,982930,31111628.91,31.65,6.13
161,1440339,17481509.62,12.14,2.41
237,1687005,16771507.64,9.94,2.06
236,1502028,15977224.09,10.64,2.2
230,1110695,15788191.84,14.21,2.63
186,1176656,14572670.88,12.38,2.37
48,1099253,13801269.19,12.56,2.35
162,1171295,13778514.49,11.76,2.39
170,1110153,13197918.66,11.89,2.37
142,1168375,12950679.95,11.08,2.28
163,1017549,12775128.58,12.55,2.4
68,901392,11601716.08,12.87,2.46
239,1025952,11568974.16,11.28,2.36
79,934087,11327502.64,12.13,2.45
234,947413,10665982.83,11.26,2.32
107,843663,10027290.14,11.89,2.33
141,937556,9940198.75,10.6,2.13
164,796326,9821809.97,12.33,2.4
264,422559,9486927.24,22.45,4.01